date,brand,price
9/4/2021, MSI ,549.99
9/4/2021, EVGA ,1200
9/4/2021, MSI ,67
9/4/2021, AMD ,64.99
9/4/2021, NVIDIA ,269
9/4/2021, EVGA ,255
9/5/2021, NVIDIA ,169.99
9/5/2021, NVIDIA ,102
9/5/2021, ASUS ,378.95
9/5/2021, EVGA ,466
9/5/2021, EVGA ,1750
9/5/2021, NVIDIA ,174.99
9/5/2021, NVIDIA ,750
9/5/2021, Geforce ,161
9/5/2021, EVGA ,1899.99
9/5/2021,,399
9/5/2021, MSI ,67
9/5/2021, Nvdia ,270
9/5/2021, Graphics ,460
9/5/2021, ASUS ,355
9/5/2021, SAPPHIRE ,330
9/5/2021, NVIDIA ,350
9/5/2021, EVGA ,715
9/5/2021, EVGA ,225
9/5/2021, EVGA ,385
9/5/2021, EVGA ,580
9/5/2021, PowerColor ,78.5
9/5/2021, EVGA ,285
9/5/2021, ZOTAC ,1649.99
9/5/2021, ZOTAC ,199.97
9/5/2021, Nvida ,81
9/5/2021, EVGA ,803
9/5/2021,,650
9/5/2021, Geforce ,230
9/5/2021, PowerColor ,899.99
9/5/2021, ASUS ,1639
9/5/2021, AMD ,430.01
9/5/2021, HPE ,140
9/5/2021, EVGA ,99
9/5/2021, XFX ,139.99
9/5/2021, MSI ,419
9/5/2021, EVGA ,107.5
9/5/2021, ZOTAC ,699.98
9/5/2021, GIGABYTE ,220
9/5/2021, GIGABYTE ,620
9/5/2021, HPE ,495
9/5/2021, GIGABYTE ,21.5
9/5/2021,,199.99
9/5/2021, EVGA ,450
9/5/2021, EVGA ,660
9/5/2021, NVIDIA ,45
9/5/2021, EVGA ,19.99
9/5/2021, EVGA ,269.99
9/5/2021, GIGABYTE ,107.5
9/5/2021, ZOTAC ,350
9/5/2021, NVIDIA ,17.5
9/6/2021, NVIDIA ,169.99
9/6/2021, NVIDIA ,355
9/6/2021, EVGA ,269
9/6/2021, ZOTAC ,699
9/6/2021, GIGABYTE ,989
9/6/2021, ASUS ,249.99
9/6/2021, NVIDIA ,174.99
9/6/2021, ASUS ,455
9/6/2021, MSI ,1649.99
9/6/2021, NVIDIA ,650
9/6/2021, EVGA ,2.25
9/6/2021, EVGA ,2749.99
9/6/2021, XFX ,169.99
9/6/2021, ASUS ,200
9/6/2021, NVIDIA ,350
9/6/2021, GIGABYTE ,259.99
9/6/2021, Geforce ,171
9/6/2021, EVGA ,1899.99
9/6/2021, EVGA ,465
9/6/2021, EVGA ,749
9/6/2021, Dell ,100
9/6/2021, ZOTAC ,1499.99
9/6/2021, EVGA ,356
9/6/2021, ASUS ,220
9/6/2021, EVGA ,355
9/6/2021, ZOTAC ,199.97
9/6/2021, EVGA ,520
9/6/2021, PNY ,239.97
9/6/2021, SAPPHIRE ,330
9/6/2021, GIGABYTE ,165
9/6/2021,,399
9/6/2021, NVIDIA ,99.93
9/6/2021, EVGA ,60
9/6/2021, NVIDIA ,1300
9/6/2021, ASUS ,204.5
9/6/2021, AMD ,260
9/6/2021, Geforce ,244.24
9/6/2021, ASUS ,300
9/6/2021, EVGA ,270
9/6/2021, MSI ,349.97
9/6/2021,,199.99
9/6/2021, ASUS ,830
9/6/2021, ASUS ,355
9/6/2021, NVIDIA ,24.99
9/6/2021, AMD ,64.99
9/6/2021,,25.99
9/6/2021, NVIDIA ,269
9/6/2021, NVIDIA ,104.94
9/6/2021, Dell ,659.99
9/6/2021, ASUS ,29.99
9/7/2021, NVIDIA ,169.99
9/7/2021, HP ,269.99
9/7/2021, EVGA ,89.95
9/7/2021, ASUS ,599.99
9/7/2021, MSI ,149
9/7/2021, NVIDIA ,122.5
9/7/2021, Geforce ,135
9/7/2021, NVIDIA ,168.99
9/7/2021, NVIDIA ,1587
9/7/2021, NVIDIA ,150
9/7/2021, NVIDIA ,24.99
9/7/2021, XFX ,399
9/7/2021, EVGA ,391
9/7/2021, ASUS ,788.57
9/7/2021, ZOTAC ,219.97
9/7/2021, EVGA ,540
9/7/2021, Manli ,450
9/7/2021, ASUS ,500
9/7/2021, XFX ,174.95
9/7/2021, GIGABYTE ,1099
9/7/2021, EVGA ,470
9/7/2021, ZOTAC ,689
9/7/2021, MSI ,199
9/7/2021, ASUS ,232.5
9/7/2021, EVGA ,729.99
9/7/2021, EVGA ,355
9/7/2021, ZOTAC ,219
9/7/2021, MSI ,419
9/7/2021, ASUS ,570
9/7/2021, XFX ,289.97
9/7/2021, Manli ,265
9/7/2021, EVGA ,1688.88
9/7/2021, GIGABYTE ,193.5
9/7/2021, SAPPHIRE ,199
9/7/2021, ZOTAC ,699.99
9/7/2021, MSI ,51
9/7/2021, EVGA ,600
9/7/2021, ZOTAC ,630
9/7/2021, Dell ,69
9/7/2021, Dell ,484.97
9/7/2021, XFX ,425
9/7/2021, NVIDIA ,350
9/7/2021, NVIDIA ,96
9/7/2021, AMD ,64.99
9/7/2021,,80
9/7/2021,,199.99
9/7/2021, MSI ,110
9/7/2021, NVIDIA ,199
9/7/2021, SAPPHIRE ,79
9/7/2021, EVGA ,45
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
